x,y,z
472.1935900490748,178.81559220231816,a
458.9735106787906,202.77794227419383,a
433.0712481464211,154.0924115853329,a
436.60381727808,220.55027122561302,a
434.55754882581635,205.07034597980885,a
449.081808366036,234.55878074473856,a
383.7504704325738,173.66503586817709,a
412.4100604087319,239.16162421233946,a
445.9495327135983,227.4176520255793,a
461.9643861293363,175.61494690278244,a
458.7284490572193,158.970847373896,a
448.77005502278274,152.09078735801182,a
432.30042511371613,175.11931968996777,a
482.6749518229708,167.0443775342374,a
436.75390004865795,247.77746653103085,a
462.01037795196976,200.78863476960038,a
469.56233260609224,175.64652929905293,a
427.97997559741265,182.235294480211,a
461.9211029115612,144.9091665849249,a
459.27267324570664,197.5341115251955,a
469.9328008108584,198.12690036195244,a
478.8415433693037,199.49074935449192,a
451.892777740626,232.48667801415894,a
431.81533253819407,143.677411129216,a
474.18431029652277,178.98497749122737,a
483.7406092868364,187.76354031324962,a
489.8531757412998,216.35871056701507,a
476.92344206896996,215.09489054182086,a
480.17822933705503,173.15796255267503,a
416.5714965120593,186.93696001058527,a
442.2331456002805,197.75380361638258,a
459.6816683915063,184.87365447170941,a
517.7952776767648,172.94370329853643,a
441.35355351397317,194.21888529069264,a
444.83388437417614,206.0670614839375,a
461.3990885551545,151.53835880159255,a
427.2336827304033,201.58807590146756,a
488.61130830135977,206.04032809565928,a
452.6080241162962,196.2762065290167,a
445.95286432667024,205.34088995674688,a
465.1010891245542,196.1999891274213,a
470.9496313148393,233.38181380794396,a
474.93069077968676,194.5598018800129,a
449.10402987747597,201.6068916431821,a
488.856918476458,194.6532788087511,a
476.86201961558027,164.45147343000787,a
484.61560649144707,166.92300247432377,a
516.8644600963594,200.87773093032598,a
457.9212194161544,204.96390357156554,a
468.43637232164525,184.29750093286958,a
483.97266235117223,189.69360260993068,a
473.1382849493875,176.06636119815698,a
530.8779424710249,223.45333751820584,a
466.31173368230486,167.36038987503247,a
493.84249573819505,175.29982258510836,a
519.279178239634,203.38770873089095,a
465.29621927330123,155.12030963259554,a
479.15240520257765,224.1843277730299,a
496.644462570956,247.30918047550546,a
466.11094014225176,230.61242193943053,a
503.7043270651475,181.07771793966242,a
543.924056041571,192.74372698671317,a
488.7293250131194,172.2307973498477,a
530.0299960832624,192.90870890365005,a
554.5544702621686,184.18554766304948,a
515.2256638132103,196.26898023420813,a
515.3722761384382,227.4795107398997,a
514.0204475925884,183.22398180088703,a
464.851861095685,201.9393679511653,a
521.4069092552419,168.64091675146756,a
527.546150534103,228.245798292335,a
502.5413398237975,233.70272940258388,a
554.9372007392698,199.35846147248236,a
544.0050471899517,188.32311405121266,a
540.0409393284264,221.1492354069947,a
550.3923614122555,206.52316604301075,a
589.6411642602244,171.20288856269883,a
556.8864629991491,227.1052587634279,a
586.4577824078173,192.68657260318201,a
573.4709699171431,222.66056846001925,a
603.4059040708179,210.79375983216227,a
553.2856145028785,167.35606383795198,a
537.3038240204991,221.90536863917515,a
611.8199641583308,224.8164751465759,a
614.4589318635217,244.22641397577584,a
599.1934279474707,218.73945045560544,a
610.0676019486428,210.62137546304257,a
647.7833565831169,190.52546907488647,a
608.6928833602489,261.3266276803226,a
612.3143122012024,223.94474914141477,a
621.3055014084979,192.3449214820834,a
582.6409130268356,224.77286892835752,a
652.4708712982401,239.52239541358836,a
629.3669317596471,175.8562027803207,a
635.3320375710344,220.96072374170217,a
608.1675465469416,195.8375657029414,a
663.5231636564238,236.5398814865249,a
652.5993256031051,234.67935610958983,a
634.4702509668203,223.15081319390902,a
656.9060989651433,216.6414884266344,a
653.2849570789825,247.0630687160185,a
644.7357132363204,193.38626884593754,a
679.4470279663058,212.49348740466422,a
659.8199060818531,220.22062279494963,a
